brightened	brighten的过去式
brimmed brim的过去式
brought bring的过去式
brisked brisk的过去式
broadcast	broadcast的过去式
brokered	broker的过去式
bronzed bronze的过去式
brooded brood的过去式
broomed broom的过去式
browned brown的过去式
browsed browse的过去式
bruised bruise的过去式
brushed brush的过去式
bubbled bubble的过去式
bucketed	bucket的过去式
buckled buckle的过去式
budded	bud的过去式
budgeted	budget的过去式
buffaloed	buffalo的过去式
bugged	bug的过去式
built	build的过去式
bulbed	bulb的过去式
bulged	bulge的过去式
bulked	bulk的过去式
bulletined	bulletin的过去式
bumped	bump的过去式
bunched bunch的过去式
bundled bundle的过去式
burgeoned	burgeon的过去式
burglared	burglar的过去式
burned	burn的过去式
burrowed	burrow的过去式
burst	burst的过去式
buried	bury的过去式
bused	bus的过去式
bust	bust的过去式
busied	busy的过去式
butchered	butcher的过去式
buttered	butter的过去式
buttoned	button的过去式
bought	buy的过去式
buzzed	buzz的过去式
cabbed	cab的过去式
cabined cabin的过去式
cabled	cable的过去式
cached	cache的过去式
caddied caddy的过去式
caged	cage的过去式
caked	cake的过去式
calculated	calculate的过去式
calendared	calendar的过去式
called	call的过去式
calmed	calm的过去式
campaigned	campaign的过去式
campused	campus的过去式
canalled	canal的过去式
canceled	cancel的过去式
candled candle的过去式
candied candy的过去式
caned	cane的过去式
cannoned	cannon的过去式
canoed	canoe的过去式
canvased	canvas的过去式
capped	cap的过去式
capsuled	capsule的过去式
captained	captain的过去式
captioned	caption的过去式
captured	capture的过去式
cared	care的过去式
careered	career的过去式
caressed	caress的过去式
carpentered carpenter的过去式
carpeted	carpet的过去式
carried carry的过去式
carted	cart的过去式
cartoned	carton的过去式
cartooned	cartoon的过去式
carved	carve的过去式
cascaded	cascade的过去式
cased	case的过去式
cashed	cash的过去式
cast	cast的过去式
castled castle的过去式
cataloged	catalog的过去式
catalogued	catalogue的过去式
caught	catch的过去式
catered cater的过去式
caused	cause的过去式
cautioned	caution的过去式
caved	cave的过去式
ceased	cease的过去式
celebrated	celebrate的过去式
cellared	cellar的过去式
cemented	cement的过去式
censored	censor的过去式
censused	census的过去式
centered	center的过去式
centred centre的过去式
certified	certify的过去式
chained chain的过去式
chaired chair的过去式
chalked chalk的过去式
challenged	challenge的过去式
chambered	chamber的过去式
championed	champion的过去式
chanced chance的过去式
changed change的过去式
channeled	channel的过去式
chanted chant的过去式
chaptered	chapter的过去式
charactered character的过去式
characterized	characterize的过去式
charged charge的过去式
charmed charm的过去式
charted chart的过去式
chartered	charter的过去式
chatted chat的过去式
cheated cheat的过去式
checked check的过去式
cheeked cheek的过去式
cheered cheer的过去式
cherished	cherish的过去式
chewed	chew的过去式
chilled chill的过去式
chinned chin的过去式
chipped chip的过去式
chiseled	chisel的过去式
chloroformed	chloroform的过去式
choired choir的过去式
choked	choke的过去式
chose	choose的过去式
chorused	chorus的过去式
churched	church的过去式
ciphered	cipher的过去式
circled circle的过去式
circuited	circuit的过去式
circulated	circulate的过去式
cited	cite的过去式
civilized	civilize的过去式
claimed claim的过去式
clarified	clarify的过去式
clashed clash的过去式
clasped clasp的过去式
classed class的过去式
classified	classify的过去式
clawed	claw的过去式
cleaned clean的过去式
cleared clear的过去式
clerked clerk的过去式
clicked click的过去式
climaxed	climax的过去式
climbed climb的过去式
clung	cling的过去式
cloaked cloak的过去式
clocked clock的过去式
closeted	closet的过去式
clotted clot的过去式
clothed clothe的过去式
clouded cloud的过去式
clubbed club的过去式
clued	clue的过去式
clumped clump的过去式
clustered	cluster的过去式
coached coach的过去式
coaled	coal的过去式
coalesced	coalesce的过去式
coasted coast的过去式
coated	coat的过去式
coaxed	coax的过去式
cocked	cock的过去式
cocooned	cocoon的过去式
coded	code的过去式
coerced coerce的过去式
coexisted	coexist的过去式
coiled	coil的过去式
coined	coin的过去式
coincided	coincide的过去式
collaborated	collaborate的过去式
collapsed	collapse的过去式
collared	collar的过去式
collided	collide的过去式
colored color的过去式
coloured	colour的过去式
combed	comb的过去式
combated	combat的过去式
came	come的过去式
comforted	comfort的过去式
commanded	command的过去式
commemorated	commemorate的过去式
commenced	commence的过去式
commended	commend的过去式
commented	comment的过去式
commissioned	commission的过去式
committed	commit的过去式
communicated	communicate的过去式
commuted	commute的过去式
companioned companion的过去式
compared	compare的过去式
compartmented	compartment的过去式
compassed	compass的过去式
compelled	compel的过去式
compensated compensate的过去式
competed	compete的过去式
compiled	compile的过去式
complained	complain的过去式
completed	complete的过去式
complexioned	complexion的过去式
complicated complicate的过去式
complimented	compliment的过去式
complied	comply的过去式
composed	compose的过去式
comprehended	comprehend的过去式
comprised	comprise的过去式
compromised compromise的过去式
computed	compute的过去式
concatenated	concatenate的过去式
concealed	conceal的过去式
conceded	concede的过去式
conceived	conceive的过去式
concentrated	concentrate的过去式
concerned	concern的过去式
concerted	concert的过去式
concluded	conclude的过去式
concocted	concoct的过去式
concreted	concrete的过去式
condemned	condemn的过去式
condensed	condense的过去式
conditioned condition的过去式
conducted	conduct的过去式
confessed	confess的过去式
confirmed	confirm的过去式
conformed	conform的过去式
confronted	confront的过去式
confused	confuse的过去式
conglomerated	conglomerate的过去式
congratulated	congratulate的过去式
connected	connect的过去式
conquered	conquer的过去式
consented	consent的过去式
considered	consider的过去式
consigned	consign的过去式
consisted	consist的过去式
consolidated	consolidate的过去式
constituted constitute的过去式
constrained constrain的过去式
constricted constrict的过去式
consulted	consult的过去式
consumed	consume的过去式
contacted	contact的过去式
contained	contain的过去式
contaminated	contaminate的过去式
contemplated	contemplate的过去式
contended	contend的过去式
continued	continue的过去式
contoured	contour的过去式
contracted	contract的过去式
contradicted	contradict的过去式
contributed contribute的过去式
contrived	contrive的过去式
controlled	control的过去式
convened	convene的过去式
converged	converge的过去式
conveyed	convey的过去式
convinced	convince的过去式
cooked	cook的过去式
cooled	cool的过去式
cooperated	cooperate的过去式
copied	copy的过去式
copyrighted copyright的过去式
corded	cord的过去式
cored	core的过去式
corked	cork的过去式
cornered	corner的过去式
corrected	correct的过去式
correlated	correlate的过去式
corresponded	correspond的过去式
corroded	corrode的过去式
corrupted	corrupt的过去式
cost	cost的过去式
costumed	costume的过去式
cottoned	cotton的过去式
couched couch的过去式
coughed cough的过去式
counseled	counsel的过去式
counteracted	counteract的过去式
counterfeited	counterfeit的过去式
coupled couple的过去式
coursed course的过去式
courted court的过去式
covered cover的过去式
crabbed crab的过去式
cracked crack的过去式
cradled cradle的过去式
crafted craft的过去式
craned	crane的过去式
cranked crank的过去式
crashed crash的过去式
cratered	crater的过去式
crazed	craze的过去式
creamed cream的过去式
creased crease的过去式
created create的过去式
credited	credit的过去式
crept	creep的过去式
crimed	crime的过去式
crippled	cripple的过去式
crisped crisp的过去式
criticized	criticize的过去式
